Date,Adj Close
2013-09-01,2.3807
2013-09-02,2.3748
2013-09-03,2.356
2013-09-04,2.3578
2013-09-05,2.3204
2013-09-08,2.3006
2013-09-09,2.2739
2013-09-10,2.2823
2013-09-11,2.2718
2013-09-12,2.2726
2013-09-15,2.2767
2013-09-16,2.2814
2013-09-17,2.2503
2013-09-18,2.1828
2013-09-19,2.1973
2013-09-22,2.2075
2013-09-23,2.1958
2013-09-24,2.1947
2013-09-25,2.2233
2013-09-26,2.239
2013-09-29,2.2227
2013-09-30,2.217
2013-10-01,2.2126
2013-10-02,2.1896
2013-10-03,2.2049
2013-10-06,2.2075
2013-10-07,
2013-10-08,2.2051
2013-10-09,2.2026
2013-10-10,2.1772
2013-10-13,2.171
2013-10-14,2.1789
2013-10-15,2.1773
2013-10-16,2.1781
2013-10-17,2.1585
2013-10-20,2.1455
2013-10-21,2.1706
2013-10-22,2.1696
2013-10-23,2.1863
2013-10-24,2.2006
2013-10-28,2.1844
2013-10-29,2.1775
2013-10-30,2.182
2013-10-31,2.1811
2013-11-01,2.2318
2013-11-04,2.2517
2013-11-05,2.2408
2013-11-06,2.2773
2013-11-07,2.2825
2013-11-08,2.3029
2013-11-11,2.3093
2013-11-12,2.3278
2013-11-13,2.3304
2013-11-14,2.329
2013-11-15,2.3113
2013-11-18,2.3159
2013-11-19,2.2604
2013-11-20,2.2688
2013-11-21,2.2687
2013-11-22,2.3021
2013-11-25,2.2738
2013-11-26,2.2808
2013-11-27,2.2938
2013-11-28,2.327
2013-11-29,2.3149
2013-12-02,2.3308
2013-12-03,2.3533
2013-12-04,2.373
2013-12-05,2.388
2013-12-06,2.3562
2013-12-09,2.3218
2013-12-10,2.317
2013-12-11,2.306
2013-12-12,2.3387
2013-12-13,2.332
2013-12-16,2.325
2013-12-17,2.3229
2013-12-18,2.3164
2013-12-19,2.3289
2013-12-20,2.3545
2013-12-23,2.3827
2013-12-24,2.354
2013-12-25,2.3552
2013-12-26,2.3545
2013-12-27,2.3523
2013-12-30,2.3335
2013-12-31,2.3593
2014-01-01,2.3592
2014-01-02,2.3571
2014-01-03,2.3847
2014-01-06,2.3715
2014-01-07,2.3737
2014-01-08,2.3687
2014-01-09,2.392
2014-01-10,2.388
2014-01-13,2.3535
2014-01-14,2.3568
2014-01-15,2.3516
2014-01-16,2.3555
2014-01-17,2.3606
2014-01-20,2.3475
2014-01-21,2.3405
2014-01-22,2.3578
2014-01-23,2.3696
2014-01-24,2.3909
2014-01-27,2.3932
2014-01-28,2.4184
2014-01-29,2.4234
2014-01-30,2.4324
2014-01-31,2.4088
2014-02-03,2.4223
2014-02-04,2.4372
2014-02-05,2.4064
2014-02-06,2.3955
2014-02-07,2.3795
2014-02-10,2.3752
2014-02-11,2.4062
2014-02-12,2.4014
2014-02-13,2.417
2014-02-14,2.391
2014-02-17,2.3841
2014-02-18,2.3818
2014-02-19,2.3861
2014-02-20,2.389
2014-02-21,2.3696
2014-02-24,2.3406
2014-02-25,2.3363
2014-02-26,2.3388
2014-02-27,2.348
2014-02-28,2.319
2014-03-03,2.3334
2014-03-04,2.3411
2014-03-05,2.3378
2014-03-06,2.3173
2014-03-07,2.32
2014-03-10,2.3356
2014-03-11,2.3432
2014-03-12,2.3594
2014-03-13,2.3523
2014-03-14,2.3611
2014-03-17,2.3405
2014-03-18,2.3461
2014-03-19,2.3294
2014-03-20,2.3446
2014-03-21,2.3233
2014-03-24,2.3198
2014-03-25,2.3186
2014-03-26,2.3091
2014-03-27,2.2929
2014-03-28,2.2562
2014-03-30,2.2561
2014-03-31,2.2693
2014-04-01,2.2583
2014-04-02,2.265
2014-04-03,2.2765
2014-04-06,2.2308
2014-04-07,2.2143
2014-04-08,2.1989
2014-04-09,2.1813
2014-04-10,2.2039
2014-04-13,2.2139
2014-04-14,2.2123
2014-04-15,2.2336
2014-04-16,2.2382
2014-04-17,2.2282
2014-04-20,2.2282
2014-04-21,2.2282
2014-04-22,2.237
2014-04-23,2.2179
2014-04-24,2.209
2014-04-27,2.2388
2014-04-28,2.2203
2014-04-29,2.2332
2014-04-30,2.228
2014-05-01,2.2307
2014-05-04,2.215
2014-05-05,2.2423
2014-05-06,2.227
2014-05-07,2.214
2014-05-08,2.213
2014-05-11,2.2075
2014-05-12,2.2099
2014-05-13,2.2116
2014-05-14,2.1997
2014-05-15,2.2156
2014-05-18,2.2103
2014-05-19,2.2029
2014-05-20,2.2128
2014-05-21,2.2051
2014-05-22,2.2108
2014-05-25,2.219
2014-05-26,2.2211
2014-05-27,2.2328
2014-05-28,2.2276
2014-05-29,2.2236
2014-06-01,2.2368
2014-06-02,2.2738
2014-06-03,2.2766
2014-06-04,2.2754
2014-06-05,2.2563
2014-06-08,2.2428
2014-06-09,2.2262
2014-06-10,2.2191
2014-06-11,2.2304
2014-06-12,2.227
2014-06-15,2.2196
2014-06-16,2.2298
2014-06-17,2.2588
2014-06-18,2.2197
2014-06-19,2.2195
2014-06-22,2.2268
2014-06-23,2.213
2014-06-24,2.2216
2014-06-25,2.2048
2014-06-26,2.1939
2014-06-29,2.1918
2014-06-30,2.2117
2014-07-01,2.1981
